Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Horaria

Data Medicao,Hora Medicao,PRECIPITACAO TOTAL. HORARIO(mm),RADIACAO GLOBAL(Kj/m²),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C),TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C),VENTO. DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s)
2019-01-25,0000,0,-2.4,28.4,28.1,247,5.9,2.5
2019-01-25,0100,0,-3.5,28.2,28,256,7,3.6
2019-01-25,0200,0,-3.2,28.2,27.9,259,9.3,5.4
2019-01-25,0300,0,-2.9,28,27,244,11.4,3.4
2019-01-25,0400,0,-2.3,27.2,26.9,243,7.5,2.4
2019-01-25,0500,0,-3.3,27,26.7,272,6.6,2.4
2019-01-25,0600,0,-3.5,26.9,26.7,285,5.7,1.7
2019-01-25,0700,0,-2,27,26.6,260,4.7,2.6
2019-01-25,0800,0,-2.2,27.1,26.8,273,5.5,2.3
2019-01-25,0900,0,53.9,27.3,26.8,275,4.8,2.3
2019-01-25,1000,0,440.9,27.9,27.3,274,4.8,2.1
2019-01-25,1100,0,896.9,29.8,27.6,220,5.5,2.7
2019-01-25,1200,0,1439.5,29.9,28.1,236,5.4,2.1
2019-01-25,1300,0,1690.4,30.4,28.9,235,4.8,1.6
2019-01-25,1400,0,1851.1,30.6,28.9,227,5.2,2.1
2019-01-25,1500,0,1673.2,30.3,28.7,208,5.2,2.5
2019-01-25,1600,0,787.9,29.4,27.9,171,7.6,4.9
2019-01-25,1700,0,1660.1,30.5,28.1,149,8.5,4.8
2019-01-25,1800,0,2140.6,30.5,29,158,7.5,2.1
2019-01-25,1900,0,338.5,29.9,26.7,59,8.3,3.2
2019-01-25,2000,34.2,34.9,26.7,19.9,219,12.3,1.9
2019-01-25,2100,1.8,13.4,21,20,311,9.7,1.3
2019-01-25,2200,3,3.7,21.7,20.9,293,4,1.4
2019-01-25,2300,1.4,-.5,22.6,21.6,95,3.8,1.7
2019-01-26,0000,.2,1,22.7,22.2,61,6.3,1.6
2019-01-26,0100,0,5.7,22.9,22.5,49,10,2.2
2019-01-26,0200,0,4,23.1,22.7,9,8.7,1.7
2019-01-26,0300,0,1.5,22.9,22.6,77,7.4,1.8
2019-01-26,0400,0,-3,23.8,22.8,63,7.5,2.8
2019-01-26,0500,0,-2.2,23.7,23.2,72,7.5,1.9
2019-01-26,0600,0,-.6,23.9,23.5,67,6.1,1.9
2019-01-26,0700,0,-1.1,23.8,23.6,60,5.2,1.6
2019-01-26,0800,0,-1.9,24,23.6,52,4.8,1.5
2019-01-26,0900,0,52.2,24.4,23.8,71,4.8,1.1
2019-01-26,1000,0,542.7,24.9,24.4,18,4.8,2.4
2019-01-26,1100,0,922,26.1,24.8,338,5.1,.9
2019-01-26,1200,0,1630.3,28.2,25.9,118,3.2,1.8
2019-01-26,1300,0,2904.5,30.2,27.4,134,4,2.2
2019-01-26,1400,0,3727.6,31.7,29.1,151,3.5,2.3
2019-01-26,1500,0,3880.1,31.3,29.3,177,3.6,2.2
2019-01-26,1600,0,3908.1,31.6,29.8,159,4.1,2.4
2019-01-26,1700,0,3625.2,31.8,30.5,136,4.4,3.1
2019-01-26,1800,0,3119.6,31.9,30.3,122,6.5,3.5
2019-01-26,1900,0,2353.8,31,29.2,120,8.2,6.2
2019-01-26,2000,0,1864,29.5,27.6,96,10.6,4.4
2019-01-26,2100,0,495.8,28.8,27.2,102,8.3,1.5
2019-01-26,2200,0,92.6,28.6,27.8,105,5.3,3.3
2019-01-26,2300,0,-3.5,27.8,27.3,98,6.8,1.8
2019-01-27,0000,0,-3.5,27.6,27,75,5.2,1.9
2019-01-27,0100,0,-3.5,27.3,26.9,68,8.5,3.3
2019-01-27,0200,0,-3.5,26.9,26.2,85,8.5,2.9
2019-01-27,0300,0,-3.5,26.5,26.1,359,6.7,2
2019-01-27,0400,0,-3.5,26.1,25.7,102,5.7,1
2019-01-27,0500,0,-3.5,25.9,25.6,76,4.6,2.1
2019-01-27,0600,0,-3.2,25.6,25.5,65,5,1.1
2019-01-27,0700,0,-3.5,25.6,25.3,74,4.7,1.6
2019-01-27,0800,0,-3.5,25.4,25.1,91,5.2,1.8
2019-01-27,0900,0,57.6,25.6,25.1,81,4.7,2.1
2019-01-27,1000,0,669.8,27.1,25.5,90,5,1.8
2019-01-27,1100,0,1576.1,28.2,26.4,85,5,2.6
2019-01-27,1200,0,2426.9,30.1,27.6,73,5,1.8
2019-01-27,1300,0,3136.7,31.2,29.2,102,6.1,4.3
2019-01-27,1400,0,3692.8,31.3,30.2,107,6.6,4.9
2019-01-27,1500,0,3971.4,33.7,31.1,127,6.7,5
2019-01-27,1600,0,3968.4,33.4,31.6,124,6.4,3.8
2019-01-27,1700,0,3749.6,33.5,31.3,119,6.5,5.2
2019-01-27,1800,0,3221.9,31.6,29.6,107,7.8,3.6
2019-01-27,1900,0,2499.6,30.4,28.7,134,5.4,1.1
2019-01-27,2000,0,1518.1,28.7,28.1,119,6.2,2.5
2019-01-27,2100,0,176.3,29.3,28.1,91,7.5,4.1
2019-01-27,2200,0,48.3,30.1,29.2,96,7,1.7
2019-01-27,2300,0,-3.5,29.9,28.1,17,4.9,.8
2019-01-28,0000,0,-3.5,29.3,27.2,96,5.1,2.9
2019-01-28,0100,0,-3.5,28.9,27.2,73,4.8,2.3
2019-01-28,0200,0,-3.5,29.1,28.4,58,6.3,2.4
2019-01-28,0300,0,-3.5,29,28.1,88,7.3,2.3
2019-01-28,0400,0,-3.5,28.4,27.5,71,6.1,2.6
2019-01-28,0500,0,-3.5,27.9,27.2,149,6.1,.9
2019-01-28,0600,0,-3.5,27.2,26.7,50,4.9,1.6
2019-01-28,0700,0,-3.5,27.1,26.6,8,4,1.8
2019-01-28,0800,0,-3.5,27,26.4,10,3.3,.4
2019-01-28,0900,0,53.9,27.3,26.4,64,2.3,1.2
2019-01-28,1000,0,651.7,28.6,27.3,75,3.3,1.6
2019-01-28,1100,0,1533.3,30,28.1,101,3.6,2.2
2019-01-28,1200,0,2386.3,31.2,29.4,132,3.7,1.3
2019-01-28,1300,0,3093.3,32.6,29.7,148,4.2,2.7
2019-01-28,1400,0,3586,33,31,143,3.7,2.7
2019-01-28,1500,0,3840.4,32.6,31.2,140,4,3.2
2019-01-28,1600,0,3865.8,32.6,30.8,116,4.1,2.4
2019-01-28,1700,0,3645.4,30.9,29.6,107,4.1,2.3
2019-01-28,1800,0,3143.9,30.5,29.1,117,3.6,2.6
2019-01-28,1900,0,2443.4,30,28.5,97,4,2.5
2019-01-28,2000,0,1492.9,28.7,27.2,109,7.5,3.3
2019-01-28,2100,0,189.6,27.3,26.9,104,6.7,1.9
2019-01-28,2200,0,46.6,27.1,26.6,108,4.5,1.6
2019-01-28,2300,0,-3.5,26.9,26.6,100,3.7,2.4
2019-01-29,0000,0,-3.5,26.6,26.4,102,3.7,2.2
2019-01-29,0100,0,-3.5,26.5,26.3,88,3.7,2.3
2019-01-29,0200,0,-3.5,26.7,26.3,100,3.1,1.2
2019-01-29,0300,0,-3.2,28.5,26.3,75,4.1,1
2019-01-29,0400,0,-3.5,29,26.9,292,4.1,1.5
2019-01-29,0500,0,-3.2,27,26.6,294,3,1.3
2019-01-29,0600,0,-3.5,27,26.7,285,2.1,1.2
2019-01-29,0700,0,-3.5,27.3,26.5,49,2,1
2019-01-29,0800,0,-3.5,27.3,25.8,150,2.2,1.3
2019-01-29,0900,0,39.9,25.8,25.4,111,2.3,1.4
2019-01-29,1000,0,606.2,27.5,25.8,102,3.3,2.2
2019-01-29,1100,0,1484.6,29,27.4,116,3.3,1.3
2019-01-29,1200,0,2318.8,30.8,28.2,144,2.3,.9
2019-01-29,1300,0,3025.2,33.7,30,162,3.4,2.4
2019-01-29,1400,0,3529.2,33.4,29.8,123,3.4,1.6
2019-01-29,1500,0,3852.1,32.4,31,109,3.5,2
2019-01-29,1600,0,3888.1,31.6,30.3,99,3.5,2.3
2019-01-29,1700,0,3605.7,32,30.3,101,3.3,1.8
2019-01-29,1800,0,3122.8,32.1,30.1,110,4.7,1.8
2019-01-29,1900,0,2427.9,32.1,30.1,107,4.6,2.2
2019-01-29,2000,0,1468.5,30.4,28.4,72,7.2,1.1
2019-01-29,2100,0,176.4,29.1,28,106,4.8,1.8
2019-01-29,2200,0,44.5,28.3,27.6,120,4.8,1.7
2019-01-29,2300,0,-3.5,28,27.1,248,4.2,.9
2019-01-30,0000,0,-3.5,27.4,26.7,286,2.6,1.1
2019-01-30,0100,0,-3.5,27.2,25.8,145,3,1.4
2019-01-30,0200,0,-3.5,25.9,25.6,282,2.9,2.2
2019-01-30,0300,0,-3.5,26.6,25.6,309,3,1.2
2019-01-30,0400,0,-3.5,27.1,26.1,109,2,1.2
2019-01-30,0500,0,-3.5,26.3,25.6,275,2.9,2.3
2019-01-30,0600,0,-3.5,26,25.7,284,3.8,2
2019-01-30,0700,0,-3.5,25.9,25.4,285,3.2,2
2019-01-30,0800,0,-3.5,25.8,25.5,155,2.9,.5
2019-01-30,0900,0,36.7,26.7,25.6,93,2.5,1.2
2019-01-30,1000,0,601.4,27.8,26.4,95,4.1,2.9
2019-01-30,1100,0,1499.4,28.8,27.6,92,5.2,3.1
2019-01-30,1200,0,2366.1,29,27.7,105,5,3.6
2019-01-30,1300,0,3092.4,29.4,27.7,100,5.8,4.2
2019-01-30,1400,0,3567.5,30.2,27.3,110,6.4,3.7
2019-01-30,1500,0,3861.6,30.1,28,105,5.4,2
2019-01-30,1600,0,3834.4,31.2,29.4,131,4,2
2019-01-30,1700,0,3570.5,32,29.7,113,2.9,1.3
2019-01-30,1800,0,3103.9,31.6,30.1,114,3.2,1.6
2019-01-30,1900,0,2432.7,31.3,29.4,138,3.2,.9
2019-01-30,2000,0,1520.4,30,29.2,108,2.9,1.2
2019-01-30,2100,0,160.5,29.9,29.1,156,3.1,.5
2019-01-30,2200,0,45.3,29.6,28.6,273,2.2,1.6
2019-01-30,2300,0,-3.5,29,27.6,311,3.1,1.6
2019-01-31,0000,0,-3.5,29.8,26.7,282,4.8,2.9
2019-01-31,0100,0,-3.5,26.7,26.3,276,4.8,2.7
2019-01-31,0200,0,-3.5,26.3,26.2,280,5.4,2.6
2019-01-31,0300,0,-3.5,26.2,25.5,273,3.8,1.2
2019-01-31,0400,0,-3.5,25.7,25.5,282,3,2.2
2019-01-31,0500,0,-3.5,25.6,25.5,278,3.4,2.2
2019-01-31,0600,0,-3.5,25.6,25.5,277,3.1,1.6
2019-01-31,0700,0,-3.5,25.7,25.4,265,2.3,.9
2019-01-31,0800,0,-3.5,25.5,25.2,227,1.4,.7
2019-01-31,0900,0,39.5,25.7,25,107,1,.6
2019-01-31,1000,0,586.6,27.7,25.7,106,2.1,1.7
2019-01-31,1100,0,1456.5,29.5,27.3,120,2.7,1.6
2019-01-31,1200,0,2295,31.3,28.8,127,3.6,2
2019-01-31,1300,0,3031.8,31.4,29,128,3.8,2.8
2019-01-31,1400,0,3548.3,30.9,29.7,115,3.8,2.4
2019-01-31,1500,0,3673,31.4,30.1,123,3.2,2.4
2019-01-31,1600,0,3716.8,32,30,132,3.3,2.3
2019-01-31,1700,0,3442.9,32.2,30,173,3.7,2.3
2019-01-31,1800,0,2930.1,30.6,29.1,172,3.7,2
2019-01-31,1900,0,2321,29.4,28.6,181,3.3,1.8
2019-01-31,2000,0,1473.3,28.7,28.1,163,3.3,2.5
2019-01-31,2100,0,205.9,28.1,27.4,132,3.2,.9
2019-01-31,2200,0,47.8,28.5,27.5,206,1.6,.8
2019-01-31,2300,0,-3.5,29.2,28,319,1.9,.9
2019-02-01,0000,0,-3.5,30.2,29,3,1.8,.7
2019-02-01,0100,0,-3.5,30.5,29.5,328,2,1.2
2019-02-01,0200,0,-3.5,30.1,26.6,271,3.2,1.7
2019-02-01,0300,0,-3.5,27.2,25.4,249,4.4,1
2019-02-01,0400,0,-3.5,25.4,25.1,252,3,1.4
2019-02-01,0500,0,-3.5,25.3,25.1,242,3.1,1.5
2019-02-01,0600,0,-3.5,25.3,25,276,3.2,1.6
2019-02-01,0700,0,-3.5,25.4,25.2,263,2.6,1.3
2019-02-01,0800,0,-3.5,25.4,25.2,175,2,.5
2019-02-01,0900,0,32,26,25.2,150,1.5,.6
2019-02-01,1000,0,516.9,27.6,26,96,3.5,3
2019-02-01,1100,0,1379.1,28.3,27.6,103,3.8,3.2
2019-02-01,1200,0,2260.3,29.5,28.3,96,4.2,3.3
2019-02-01,1300,0,2977.7,32.6,29.4,150,5.6,4.3
2019-02-01,1400,0,3455.3,32.9,30.8,129,5.2,3.3
2019-02-01,1500,0,3757.9,32,30.6,137,4.7,3.3
2019-02-01,1600,0,3796.5,31.7,30.3,115,4.5,1.9
2019-02-01,1700,0,3588.8,31.2,29.5,103,3.2,1.9
2019-02-01,1800,0,3123,30,29,116,3.9,2.1
2019-02-01,1900,0,2401.8,30.5,28.9,152,3,1.4
2019-02-01,2000,0,1458.9,29.4,27.5,202,2.9,1.6
2019-02-01,2100,0,198.9,27.7,27.1,200,3,.4
2019-02-01,2200,0,42.7,27.6,26.9,105,3.2,.7
2019-02-01,2300,0,-3.5,28.4,27.1,101,2.9,1.5
2019-02-02,0000,0,-3.5,27.3,26.9,182,2.8,1.5
2019-02-02,0100,0,-3.5,27.1,26.3,136,2.8,1.2
2019-02-02,0200,0,-3.5,26.6,26.4,247,3.1,1.6
2019-02-02,0300,0,-3.5,26.4,25.9,262,5,2.7
2019-02-02,0400,0,-3.5,26.2,25.7,291,4.8,1.4
2019-02-02,0500,0,-3.5,27.2,26,28,3.1,1
2019-02-02,0600,0,-3.5,27.3,25.9,85,2.9,2
2019-02-02,0700,0,-3.5,26.2,25.9,75,3.4,1.3
2019-02-02,0800,0,-3.5,26.1,26,86,2.9,1.5
2019-02-02,0900,0,28.2,26.9,25.8,85,3.5,1.6
2019-02-02,1000,0,522.4,28.7,26.9,16,4.1,.8
2019-02-02,1100,0,1395.4,30,28.6,101,4,2.1
2019-02-02,1200,0,2249.4,30,29.1,105,6.3,4.9
2019-02-02,1300,0,2991.9,33.5,29.3,126,6.4,5.2
2019-02-02,1400,0,3494.3,33.5,31.5,152,6.4,3.6
2019-02-02,1500,0,3755.9,33.6,31,130,4.7,2.7
2019-02-02,1600,0,3764.8,32.8,30.7,152,3.8,2.3
2019-02-02,1700,0,3510.9,32.8,31.2,126,3.7,2.5
2019-02-02,1800,0,3041.2,32.3,30.5,101,3.9,1.9
2019-02-02,1900,0,2384,31.4,29.9,187,3.1,1.7
2019-02-02,2000,0,1417.5,30.4,29.7,257,3.6,1.9
2019-02-02,2100,0,215.4,30.4,28.5,241,4.4,1.1
2019-02-02,2200,0,43.7,28.8,27.4,269,5.5,2.6
2019-02-02,2300,0,-3.5,27.4,26.8,269,6.4,3.3
2019-02-03,0000,0,-3.5,27,26.8,262,6.4,3.3
2019-02-03,0100,0,-3.5,27.2,26.9,265,7.1,2.8
2019-02-03,0200,0,-3.5,27.1,26.9,256,5.6,3.1
2019-02-03,0300,0,-2.7,27.5,27,264,6,2.9
2019-02-03,0400,0,-2.8,27.8,27.3,260,5.3,1.6
2019-02-03,0500,0,-3.3,28.1,27.2,272,6.1,2.5
2019-02-03,0600,0,-3.5,28.3,26.6,243,6.1,1.7
2019-02-03,0700,0,-3.4,27.9,26.4,255,8.1,4.6
2019-02-03,0800,0,-3.5,28,26.9,273,10.2,4.7
2019-02-03,0900,0,31.9,28,27.4,260,11.1,5.6
2019-02-03,1000,0,498.8,27.5,27.3,253,11,4
2019-02-03,1100,0,1230.1,28,27.2,267,8.1,4.1
2019-02-03,1200,0,2198.4,28.5,27.8,263,8.8,4.4
2019-02-03,1300,0,3007,29.4,28.5,262,8.9,3.7
2019-02-03,1400,0,3316.9,30.2,29,251,7.5,4.5
2019-02-03,1500,0,3390.7,29.9,28.8,260,9.2,5.1
2019-02-03,1600,0,3350.3,29.5,28.8,262,10.5,5.1
2019-02-03,1700,0,3580.4,30.2,29.1,260,9.8,4.9
2019-02-03,1800,0,3148.3,30.5,29.4,262,9.1,4.3
2019-02-03,1900,0,1869.3,30.6,28.8,257,9.6,5.5
2019-02-03,2000,0,1537,29.3,28.5,264,9.5,4.8
2019-02-03,2100,0,206.4,28.7,27.8,264,8.6,4.1
2019-02-03,2200,0,40,27.9,27.5,257,9.2,4.4
2019-02-03,2300,0,-2,27.6,27.4,243,8.3,2.8
2019-02-04,0000,0,-1.9,27.5,27.2,236,6.6,2.1
2019-02-04,0100,0,-1.4,27.4,27.1,196,5,1.5
2019-02-04,0200,0,.7,27.2,27,134,4.6,.6
2019-02-04,0300,0,-1.3,27.2,26.9,339,2.6,.4
2019-02-04,0400,3.4,.4,27.1,25.8,340,4.2,.8
2019-02-04,0500,0,2.7,26.6,26,352,2.4,.5
2019-02-04,0600,1,-2.2,26.5,25.4,146,5.3,3
2019-02-04,0700,.2,-2.4,25.7,25.2,327,5,.9
2019-02-04,0800,4.8,-.9,25.7,24.8,216,7.6,3.5
2019-02-04,0900,5.8,6.1,25,23.9,287,6.9,1.7
2019-02-04,1000,1.2,49.2,24.7,24.3,254,4.2,1.1
2019-02-04,1100,0,90.2,24.6,23.6,144,4,2.2
2019-02-04,1200,0,89.4,24.6,24,33,4.2,1
2019-02-04,1300,.2,155.5,24.8,24.5,253,3.1,1.9
2019-02-04,1400,.8,217.6,24.9,24.5,235,4.3,1.9
2019-02-04,1500,0,411.6,24.9,24.4,180,8.1,4.1
2019-02-04,1600,0,519.5,25.1,24.4,179,7,5
2019-02-04,1700,0,907.8,26,24.8,140,7.8,6
2019-02-04,1800,0,659,26,25.1,166,9.1,7.2
2019-02-04,1900,.4,167.2,25.4,24.6,140,10.3,7.5
2019-02-04,2000,.4,174.1,24.9,24.4,131,9.7,6.1
2019-02-04,2100,3.6,98.6,24.7,24,100,7.4,5.7
2019-02-04,2200,14.4,6,24.2,22.7,97,7.8,5
2019-02-04,2300,2,1.7,23.9,23.2,28,8,1.2
2019-02-05,0000,1,1.9,23.8,23.4,89,7.5,2.6
2019-02-05,0100,32,1.4,23.7,22.2,142,12.1,7.7
2019-02-05,0200,7.6,2.2,23.1,22.3,126,10.5,4.3
2019-02-05,0300,4.2,1.5,22.9,22.1,298,6.7,1.2
2019-02-05,0400,.8,.9,23,22.5,279,3,.8
2019-02-05,0500,3.4,1,23.1,22.7,308,3.8,1.8
2019-02-05,0600,10.6,1.7,22.8,22.3,337,6.4,1.4
2019-02-05,0700,0,6,23.6,22.8,2,3.2,1
2019-02-05,0800,2.6,2.4,23.5,23.1,20,4.5,1.1
2019-02-05,0900,2.2,10.3,23.5,22.5,78,8.4,3.2
2019-02-05,1000,0,138,24,23.1,201,6.5,.6
2019-02-05,1100,3.2,128.2,23.6,22.1,141,10.1,7.1
2019-02-05,1200,3.2,283.5,22.1,21.4,174,9.5,2.5
2019-02-05,1300,0,964.6,24.4,21.8,113,5,1.6
2019-02-05,1400,0,1136.8,26.2,23.4,89,7.1,1.2
2019-02-05,1500,0,1905.3,27.6,25.7,139,6.8,4.9
2019-02-05,1600,0,1828.8,27.8,26.5,134,6.8,4.8
2019-02-05,1700,0,1286.6,28,26.1,141,7,5.5
2019-02-05,1800,0,978.5,26.9,26.1,141,7.6,5.4
2019-02-05,1900,0,548.5,26.2,25.4,145,7.8,5.6
2019-02-05,2000,0,495.9,25.9,25.3,138,8.1,6
2019-02-05,2100,0,188.4,25.3,24.9,136,8.2,6.5
2019-02-05,2200,0,19,24.9,24.7,132,8.2,5.7
2019-02-05,2300,0,.2,24.9,24.7,133,8.2,5.3
2019-02-06,0000,0,-.8,24.9,24.4,17,6.5,1.9
2019-02-06,0100,0,.4,24.4,24.1,17,4.9,2.5
2019-02-06,0200,0,-.3,24.3,24,4,5.4,1.8
2019-02-06,0300,0,-1.2,24.5,24.2,70,4.1,1.1
2019-02-06,0400,0,-.9,24.2,23.8,33,4.2,1.4
2019-02-06,0500,0,-.6,24.3,24,68,3.1,.9
2019-02-06,0600,0,-2.8,24.3,23.9,53,3.3,1
2019-02-06,0700,0,.4,24.1,23.9,15,3.2,1.5
2019-02-06,0800,0,1.2,24,23.7,44,3.8,.9
2019-02-06,0900,0,4.6,24,23.7,18,3.2,1.1
2019-02-06,1000,0,103.9,24.3,23.8,66,2.8,1.1
2019-02-06,1100,0,276.3,24.6,24.3,94,3.5,1.3
2019-02-06,1200,0,812.1,25.4,24.6,82,4.5,1.6
2019-02-06,1300,0,1063,26.3,25.2,106,3.6,2.2
2019-02-06,1400,0,1250.7,26.4,25.6,73,5,1.7
2019-02-06,1500,0,1148.4,26.9,25.8,116,4.9,2
2019-02-06,1600,0,1209,27.2,26.3,112,3.9,2.7
2019-02-06,1700,0,1370.1,27.5,26.4,107,5.6,4.3
2019-02-06,1800,0,837.4,27.1,25.9,116,9.6,7.6
2019-02-06,1900,0,540.9,26.1,25.7,116,11.4,8.6
2019-02-06,2000,0,174.6,25.7,25.3,121,11.4,8.9
2019-02-06,2100,0,85.3,25.4,24.8,115,13.8,11.2
2019-02-06,2200,.4,12.2,24.8,24.4,66,15.9,2.8
2019-02-06,2300,13.6,-1.5,24.4,22,60,10.2,3.1
2019-02-07,0000,20.6,2.3,22.4,21,263,30.6,16.8
2019-02-07,0100,35.2,4.1,22.5,21,255,30.6,9.3
2019-02-07,0200,10,3,21.5,20.9,251,16.9,6.2
2019-02-07,0300,3.6,3.9,21.2,20.7,254,10.8,4
2019-02-07,0400,0,6,21.5,21.2,310,6.8,1.6
2019-02-07,0500,.8,2.9,21.4,20.6,305,3.4,1.9
2019-02-07,0600,0,6.3,21.2,20.8,309,3.3,1
2019-02-07,0700,0,5.7,22,21.2,35,2.1,.7
2019-02-07,0800,.2,1.1,21.8,21.5,292,2.4,1
2019-02-07,0900,0,3,22.1,21.8,300,2,.5
2019-02-07,1000,.2,54.1,22.5,21.9,261,1.7,.6
2019-02-07,1100,0,260.1,23,22.2,284,3.2,1.4
2019-02-07,1200,0,434.1,23.4,22.9,304,3.5,1.2
2019-02-07,1300,0,1694.3,26.2,23.4,272,2.9,1.4
2019-02-07,1400,0,2140.8,26.8,25.8,193,2.6,.9
2019-02-07,1500,0,2476.5,27.5,26.5,156,2.6,1.4
2019-02-07,1600,.2,3391.8,28.4,26.8,176,3.3,1.9
2019-02-07,1700,0,3518.1,28.3,26.1,225,4.5,2.3
2019-02-07,1800,0,2363.3,28.1,25.9,234,5.5,2.5
2019-02-07,1900,0,923,26.3,25.2,218,6.6,3.6
2019-02-07,2000,0,289.5,25.3,25,215,7,4.2
2019-02-07,2100,0,173.3,25.1,24.9,187,6.3,4.1
2019-02-07,2200,0,58.3,25,24.7,175,6.1,3.5
2019-02-07,2300,0,1.1,24.9,24.7,189,5,2.6
2019-02-08,0000,0,-1.1,25,24.8,215,4.6,2.5
2019-02-08,0100,0,-3.5,24.9,24.5,224,4.1,1.7
2019-02-08,0200,0,-3.5,24.7,24.2,255,2.9,.8
2019-02-08,0300,0,-3.3,24.4,24,316,1.6,.2
2019-02-08,0400,0,-3.5,24.3,23.9,337,1.9,1.1
2019-02-08,0500,0,-3.5,24.3,23.8,22,1.9,.9
2019-02-08,0600,0,-3.5,24.2,23.9,52,2.8,.8
2019-02-08,0700,0,-3.5,24.1,23.4,345,3.2,.7
2019-02-08,0800,0,-3.5,24.1,23.3,323,2.6,.3
2019-02-08,0900,0,21.2,24,23.3,80,2.1,.5
2019-02-08,1000,0,535.8,25.5,24,328,1.8,.6
2019-02-08,1100,0,1418.5,26.5,25.2,263,2.6,1.5
2019-02-08,1200,0,2293.3,29.3,26.2,166,2.6,1.8
2019-02-08,1300,0,3005.9,30,28.5,121,3.2,2.3
2019-02-08,1400,0,3561.2,31.6,29.6,143,4.6,3.5
2019-02-08,1500,0,3814.5,31.4,29.8,148,4.7,3.4
2019-02-08,1600,0,3790.8,31.1,30.2,151,5.5,4.3
2019-02-08,1700,0,3549.3,31.1,29.8,145,5.8,3.4
2019-02-08,1800,0,3046.3,30.3,28.5,157,6.1,3.6
2019-02-08,1900,0,2124.1,29.2,27,167,5.4,3.4
2019-02-08,2000,0,1273.4,27.2,26.3,157,6,3.4
2019-02-08,2100,0,305.5,26.5,25.7,139,5.8,4.2
2019-02-08,2200,0,39.7,25.7,25,140,5.8,3.9
2019-02-08,2300,0,-3.5,25.2,24.9,126,6.2,4.6
2019-02-09,0000,0,-1.2,25.5,25.1,125,6.6,4.2
2019-02-09,0100,0,-2.1,25.4,25.2,110,5.7,3.3
2019-02-09,0200,0,-3.5,25.5,25.2,77,4.9,1.3
2019-02-09,0300,0,-3.5,25.4,24.9,89,3.8,1.7
2019-02-09,0400,0,-3.5,25.2,24.9,77,4,1.3
2019-02-09,0500,0,-3.5,25.1,24.6,87,3.5,1.5
2019-02-09,0600,0,-3.5,24.8,24.4,86,3.8,1.4
2019-02-09,0700,0,-3.5,24.5,24.1,25,3.3,.8
2019-02-09,0800,0,-3.5,24.5,24.2,48,2.2,.7
2019-02-09,0900,0,27.2,24.5,23.7,23,1.7,.8
2019-02-09,1000,0,551.8,26.7,24.5,116,1.9,1.2
2019-02-09,1100,0,1442.4,28,26.4,114,3.5,2.2
2019-02-09,1200,0,2331.3,29,27.8,123,3.4,1.9
2019-02-09,1300,0,3063.7,30.7,28.4,119,4.7,3.4
2019-02-09,1400,0,3591.8,31.9,29.8,124,5.1,3.4
2019-02-09,1500,0,3869.8,32.2,30.2,130,5.7,4.7
2019-02-09,1600,0,3871.3,31.6,30.2,138,6.1,4.9
2019-02-09,1700,0,3630.3,31.3,30.2,129,7,5.6
2019-02-09,1800,0,3144.3,31.3,29.9,132,7.4,6.2
2019-02-09,1900,0,2440.9,30.2,27.7,126,8.1,6.6
2019-02-09,2000,0,1439.9,27.9,26.6,125,9.5,8.1
2019-02-09,2100,0,296.8,26.6,26.2,119,11.1,8.8
2019-02-09,2200,0,36.9,26.4,26.2,113,12.2,8.7
2019-02-09,2300,0,-.2,26.4,26.3,101,11.8,9
2019-02-10,0000,0,1.9,26.5,26.4,107,11.6,7.8
2019-02-10,0100,0,-.8,26.5,26.2,96,10.7,3.1
2019-02-10,0200,0,-3.5,26.3,26.1,71,5.7,1.5
2019-02-10,0300,0,-3.5,26.3,26.1,74,4.5,2
2019-02-10,0400,0,-3.5,26.5,26.1,77,6.5,1.7
2019-02-10,0500,0,-3.5,26.2,25.9,91,5,.7
2019-02-10,0600,0,-3.5,26.1,25.6,81,3.5,1.3
2019-02-10,0700,0,-3.5,25.7,25,96,4.3,2
2019-02-10,0800,0,-3.3,25.1,24.8,95,3.2,1.2
2019-02-10,0900,0,22.8,25.3,24.8,71,3.5,1.7
2019-02-10,1000,0,525.4,26.6,25.3,83,4.6,1.3
2019-02-10,1100,0,1395.1,28.5,26.5,82,3.9,1.1
2019-02-10,1200,0,2270.6,29.6,27.7,100,4.9,3.3
2019-02-10,1300,0,2984.9,31.1,29.2,119,4.9,2.7
2019-02-10,1400,0,3539,32.3,29.9,111,5,3.5
2019-02-10,1500,0,3822.2,31.3,30,121,6.2,5
2019-02-10,1600,0,3822,31.3,30.3,99,6.8,3.2
2019-02-10,1700,0,3429.5,30.9,29.7,113,5.8,4.3
2019-02-10,1800,0,3093.2,30.6,28.8,109,8.5,6.4
2019-02-10,1900,0,2515.6,29.1,28.7,96,8.4,2.8
2019-02-10,2000,0,1332.1,28.9,27.8,97,5,2.2
2019-02-10,2100,0,349.1,28.1,27.5,101,5.2,1.7
